address,first_seen,label,source
0xaf8d1839c3c67cf571aa74b5c12398d4901147b3,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x407cceeaa7c95d2fe2250bf9f2c105aa7aafb512,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x05e0b5b40b7b66098c2161a5ee11c5740a3a7c45,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xd8d7de3349ccaa0fde6298fe6d7b7d0d34586193,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x3efa30704d2b8bbac821307230376556cf8cc39e,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x746aebc06d2ae31b71ac51429a19d54e797878e9,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x5f6c97c6ad7bdd0ae7e0dd4ca33a4ed3fdabd4d7,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xf4b067dd14e95bab89be928c07cb22e3c94e0daa,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x01e2919679362dfbc9ee1644ba9c6da6d6245bb1,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x2fc93484614a34f26f7970cbb94615ba109bb4bf,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x26903a5a198d571422b2b4ea08b56a37cbd68c89,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xb20c66c4de72433f3ce747b58b86830c459ca911,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x2573bac39ebe2901b4389cd468f2872cf7767faf,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x653477c392c16b0765603074f157314cc4f40c32,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x88fd245fedec4a936e700f9173454d1931b4c307,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x09193888b3f38c82dedfda55259a82c0e7de875e,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x5cab7692d4e94096462119ab7bf57319726eed2a,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x756c4628e57f7e7f8a459ec2752968360cf4d1aa,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xd82ed8786d7c69dc7e052f7a542ab047971e73d2,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x77777feddddffc19ff86db637967013e6c6a116c,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x833481186f16cece3f1eeea1a694c42034c3a0db,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xb04e030140b30c27bcdfaafffa98c57d80eda7b4,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xcee71753c9820f063b38fdbe4cfdaf1d3d928a80,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x8281aa6795ade17c8973e1aedca380258bc124f9,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x57b2b8c82f065de8ef5573f9730fc1449b403c9f,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x23173fe8b96a4ad8d2e17fb83ea5dcccdca1ae52,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x538ab61e8a9fc1b2f93b3dd9011d662d89be6fe6,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x94be88213a387e992dd87de56950a9aef34b9448,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x242654336ca2205714071898f67e254eb49acdce,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x776198ccf446dfa168347089d7338879273172cf,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xedc5d01286f99a066559f60a585406f3878a033e,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xd692fd2d0b2fbd2e52cfa5b5b9424bc981c30696,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xca0840578f57fe71599d29375e16783424023357,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xdf3a408c53e5078af6e8fb2a85088d46ee09a61b,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x743494b60097a2230018079c02fe21a7b687eaa5,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x94c92f096437ab9958fc0a37f09348f30389ae79,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x5efda50f22d34f262c29268506c5fa42cb56a1ce,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x2f50508a8a3d323b91336fa3ea6ae50e55f32185,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x179f48c78f57a3a78f0608cc9197b8972921d1d2,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xffbac21a641dcfe4552920138d90f3638b3c9fba,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
